,gps_height,longitude,latitude,wpt_name,basin,region,district_code,population,public_meeting,scheme_management,permit,extraction_type,management,payment_type,water_quality,quantity,source,waterpoint_type,target,age
15019,752,31.08183593,-8.36234844,Kwa Mzee Dismas Sokotela,Lake Tanganyika,Rukwa,2,1000,True,VWC,False,nira/tanira,vwc,never pay,soft,enough,shallow well,hand pump,2,29
15020,272,38.31084946,-6.5250990999999985,Cheusi,Wami / Ruvu,Pwani,1,50,True,WUA,True,ksb,wua,per bucket,soft,enough,river,communal standpipe,0,17
15027,1112,37.20012924,-3.2775667,Area 17 Namba 6,Pangani,Kilimanjaro,5,150,True,Water Board,True,gravity,water board,per bucket,soft,enough,spring,communal standpipe,0,21
15028,1151,30.255839,-4.63268788,Shule Ya Msingi,Lake Tanganyika,Kigoma,2,750,True,Water authority,True,gravity,vwc,monthly,soft,enough,river,communal standpipe multiple,0,20
15029,1552,34.74117292,-4.10741364,Kiyangunde,Internal,Singida,1,295,True,VWC,True,afridev,vwc,never pay,soft,enough,machine dbh,hand pump,0,11
15032,291,38.54812142,-5.06994188,Kwamzeeswala,Pangani,Tanga,2,100,False,VWC,False,afridev,vwc,monthly,soft,enough,shallow well,hand pump,0,12
15033,1119,37.21272713,-3.27273569,Kwa Frank Shumbwa,Pangani,Kilimanjaro,5,30,True,Water Board,True,gravity,water board,per bucket,soft,enough,spring,communal standpipe,0,21
15034,1572,34.40943107,-4.27270549,Majengo Mapya,Internal,Singida,1,156,True,Private operator,True,submersible,private operator,per bucket,soft,enough,machine dbh,communal standpipe multiple,2,12
15035,1362,36.75760426,-2.56331651,Kwa Lemakoo,Internal,Arusha,6,800,True,VWC,True,gravity,vwc,on failure,soft,insufficient,river,cattle trough,0,21
15037,450,36.71115485,-8.95286431,Urembo,Rufiji,Morogoro,4,423,True,VWC,True,swn 80,vwc,monthly,coloured,insufficient,shallow well,hand pump,2,22
15038,1078,29.82900533,-4.65555376,Kwa Mathias,Lake Tanganyika,Kigoma,2,380,True,Water authority,True,gravity,water board,monthly,soft,enough,river,communal standpipe,0,20
15041,806,37.44413592,-3.38405831,Kwa Rose Jerobwamu,Pangani,Kilimanjaro,4,75,True,Water Board,True,gravity,water board,per bucket,soft,enough,spring,communal standpipe,0,12
15044,1818,31.49274039,-7.88686189,Kwa Fiksito,Lake Tanganyika,Rukwa,4,400,True,VWC,True,india mark ii,vwc,monthly,soft,seasonal,machine dbh,hand pump,0,27
15045,1156,35.67697071,-2.47979185,Mtaro Melwami,Internal,Arusha,5,150,True,VWC,True,gravity,vwc,never pay,soft,enough,spring,communal standpipe multiple,0,47
15048,2139,34.77326435,-9.48003376,none,Rufiji,Iringa,4,40,True,VWC,False,submersible,vwc,monthly,soft,enough,spring,communal standpipe,0,11
15049,1220,37.46423833,-3.33935986,Kwa Arobogasti Kessi,Pangani,Kilimanjaro,4,40,True,Water Board,True,gravity,water board,per bucket,soft,enough,spring,communal standpipe,0,12
15051,1291,30.07625524,-4.66091446,Kwa Yamhami Makungu,Lake Tanganyika,Kigoma,2,950,True,Water authority,True,gravity,water board,monthly,soft,enough,river,communal standpipe,0,10
15053,1154,30.25734706,-4.64191336,Kwa Moshi,Lake Tanganyika,Kigoma,2,324,True,Water authority,True,gravity,vwc,monthly,soft,enough,river,communal standpipe multiple,1,20
15056,2157,35.62207634,-2.05522382,Mollel,Internal,Arusha,5,130,True,VWC,True,gravity,vwc,per bucket,soft,insufficient,spring,communal standpipe,2,24
15057,341,36.30388341,-8.96250795,Demu,Rufiji,Morogoro,4,600,True,VWC,True,swn 80,vwc,monthly,soft,enough,shallow well,hand pump,0,22
15058,863,37.53813755,-3.38873287,Vocational,Pangani,Kilimanjaro,4,200,True,WUA,True,gravity,wua,per bucket,soft,insufficient,spring,communal standpipe,0,11
15060,1828,36.70555033,-3.31003585,Kwa Filipo,Pangani,Arusha,2,200,True,VWC,True,gravity,vwc,never pay,soft,enough,spring,communal standpipe multiple,0,22
15063,1463,35.07875585,-8.92097123,Kwa Lukasi Mangelilwe,Rufiji,Iringa,4,40,True,VWC,False,nira/tanira,vwc,on failure,soft,enough,hand dtw,hand pump,0,10
15066,1563,35.56149597,-4.35411499,Mq 1,Internal,Manyara,2,253,True,VWC,True,submersible,vwc,per bucket,soft,enough,rainwater harvesting,communal standpipe,0,17
15067,443,34.60612531,-10.51363769,none,Lake Nyasa,Iringa,5,50,True,VWC,False,gravity,vwc,never pay,soft,enough,spring,communal standpipe,0,12
15068,1360,34.6892763,-8.79429261,Shuleni,Rufiji,Iringa,4,256,True,WUA,True,gravity,wua,monthly,soft,enough,river,communal standpipe,0,42
15070,1359,35.09544862,-9.08458904,Kwa Lwimiko Kihombo,Rufiji,Iringa,4,30,True,VWC,False,gravity,vwc,monthly,soft,enough,river,communal standpipe,0,12
15071,964,35.83281776,-3.92805705,Gembo,Internal,Manyara,1,204,True,VWC,True,gravity,vwc,never pay,soft,enough,spring,communal standpipe,2,46
15074,1222,32.9009511,-2.00235552,Center,Lake Victoria,Mwanza,1,300,True,VWC,True,nira/tanira,vwc,never pay,soft,insufficient,shallow well,hand pump,0,25
15075,1570,35.71981489,-3.32221258,Kwa Isdol Barnaba,Internal,Arusha,30,100,True,VWC,True,gravity,vwc,per bucket,soft,enough,river,communal standpipe,0,26
15078,1794,34.70225487,-9.1509154,Kwa Melina Mgaya,Rufiji,Iringa,4,52,True,WUA,True,gravity,wua,monthly,soft,enough,river,communal standpipe,0,42
15080,1340,37.2057484,-5.55357916,Kwenye Dip,Wami / Ruvu,Manyara,5,500,True,VWC,True,gravity,vwc,never pay,soft,enough,spring,communal standpipe multiple,2,18
15083,1117,37.24981656,-3.2721991000000004,Kwa Felsian Varelian Kion,Pangani,Kilimanjaro,5,200,True,Water Board,True,gravity,water board,per bucket,soft,enough,spring,communal standpipe,0,21
15088,256,38.90033002,-7.16411207,Masanganya Bwebwe,Wami / Ruvu,Pwani,33,1500,True,VWC,False,india mark iii,vwc,per bucket,salty,insufficient,machine dbh,hand pump,0,15
15089,932,36.88842753,-3.59288558,Olbili Shuleni,Pangani,Manyara,4,200,True,VWC,True,submersible,vwc,per bucket,soft,enough,machine dbh,communal standpipe,0,9
15091,1479,36.63241609,-3.32237911,Kwa Luka Mwaluka,Pangani,Arusha,2,150,True,VWC,True,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe,0,18
15092,261,36.65752995,-8.10190742,Kwalipande,Rufiji,Morogoro,3,400,True,VWC,True,swn 80,vwc,never pay,coloured,insufficient,shallow well,hand pump,2,11
15099,461,35.70310553,-9.03424928,Kwavagela,Rufiji,Morogoro,3,100,True,VWC,True,nira/tanira,vwc,never pay,soft,enough,shallow well,hand pump,0,12
15104,1592,35.58177919,-4.22131096,Kwa Ero,Internal,Manyara,1,400,True,VWC,True,gravity,vwc,never pay,soft,insufficient,river,communal standpipe multiple,0,8
15105,1557,34.91964062,-8.85218261,Kwa Donard Mlawa,Rufiji,Iringa,4,40,True,VWC,False,nira/tanira,vwc,on failure,soft,enough,hand dtw,hand pump,0,11
15108,1292,37.6592323,-3.66671667,Kwa Chengele,Pangani,Kilimanjaro,2,30,True,VWC,False,gravity,vwc,monthly,soft,insufficient,spring,communal standpipe,0,13
15109,370,38.39016047,-10.93055689,Kwa Naringo,Ruvuma / Southern Coast,Mtwara,63,146,True,VWC,True,india mark ii,vwc,per bucket,salty,insufficient,machine dbh,hand pump,0,8
15110,458,34.81518357,-11.31490302,Kwa Mzee Pemba,Lake Nyasa,Ruvuma,3,98,True,VWC,True,gravity,vwc,annually,soft,enough,spring,communal standpipe,0,28
15112,303,38.52870782,-5.39777238,Kwa Kidu,Pangani,Tanga,6,200,True,VWC,True,submersible,vwc,per bucket,soft,insufficient,river,communal standpipe,2,12
15114,1139,37.23211012,-3.26643754,Kwa Arestides K Kweka,Pangani,Kilimanjaro,5,15,True,Water Board,True,gravity,water board,per bucket,soft,enough,spring,communal standpipe,0,21
15123,1749,31.76362251,-8.44213429,Kwa John Fungameza,Lake Rukwa,Rukwa,2,250,True,VWC,True,gravity,vwc,never pay,soft,insufficient,river,communal standpipe,2,37
15126,90,39.42335577,-10.24726128,Kwa Mzee Masoud,Ruvuma / Southern Coast,Lindi,23,231,False,VWC,False,india mark ii,vwc,per bucket,soft,enough,machine dbh,hand pump,0,14
15130,270,38.57634058,-5.38177019,Kwa Jospati,Pangani,Tanga,6,1500,True,VWC,False,nira/tanira,vwc,never pay,soft,dry,shallow well,hand pump,2,12
15131,69,39.44773755,-10.24350355,Kilula 1,Ruvuma / Southern Coast,Lindi,23,234,False,VWC,False,submersible,vwc,per bucket,soft,insufficient,machine dbh,communal standpipe multiple,0,14
15132,1411,35.64131342,-4.30539711,Sendoo,Internal,Manyara,1,324,True,VWC,True,nira/tanira,vwc,never pay,soft,enough,shallow well,hand pump,2,24
15133,505,38.06665798,-4.38124143,Kwa Mchagi,Pangani,Kilimanjaro,3,310,True,Water authority,True,gravity,vwc,annually,soft,enough,river,communal standpipe,2,32
15134,1367,34.79327869,-9.85010556,none,Lake Nyasa,Iringa,5,56,True,VWC,False,gravity,vwc,annually,soft,enough,spring,communal standpipe,0,11
15140,1304,37.46844334,-3.33487995,Kwa Sambonanga,Pangani,Kilimanjaro,4,60,True,Water Board,True,gravity,water board,per bucket,soft,enough,spring,communal standpipe,0,12
15144,375,38.50613607,-5.59406451,Ofisini,Pangani,Tanga,6,22,True,VWC,True,submersible,vwc,per bucket,soft,enough,river,communal standpipe,0,17
15148,1348,30.01818566,-4.33214128,Biharu Primary,Lake Tanganyika,Kigoma,2,750,True,Water authority,True,gravity,water board,monthly,soft,insufficient,river,communal standpipe multiple,1,19
15153,1168,30.42233759,-4.27881893,Shuleni,Lake Tanganyika,Kigoma,2,960,True,Water authority,True,mono,vwc,on failure,soft,enough,shallow well,communal standpipe multiple,2,45
15157,1115,34.26579029,-4.24896946,Ilyomo,Internal,Singida,1,321,True,WUA,True,afridev,wua,monthly,soft,enough,machine dbh,hand pump,0,8
15159,1817,34.67503416,-9.90770259,none,Lake Nyasa,Iringa,5,123,True,VWC,False,gravity,vwc,on failure,soft,enough,river,communal standpipe,0,14
15169,2174,34.5119971,-9.29627305,Aloice Msigwa,Lake Nyasa,Iringa,4,40,True,VWC,True,gravity,vwc,on failure,soft,insufficient,spring,communal standpipe,0,22
15172,781,29.79139321,-5.32895719,Kwa Idd Fereza,Lake Tanganyika,Kigoma,3,128,False,VWC,True,gravity,vwc,monthly,soft,seasonal,spring,communal standpipe multiple,0,14
15176,521,36.98829543,-7.40181307,Mkunguni,Rufiji,Morogoro,1,200,True,Company,True,gravity,company,never pay,soft,enough,river,communal standpipe,0,22
15177,23,39.17497586,-6.97124038,Mabatini,Wami / Ruvu,Dar es Salaam,2,150,True,WUA,False,submersible,wug,per bucket,soft,enough,machine dbh,communal standpipe,0,20
15180,1490,34.47117541,-4.42633676,Kituo Cha Afya,Internal,Singida,1,195,True,WUA,True,submersible,wua,per bucket,soft,enough,machine dbh,communal standpipe multiple,2,10
15182,1024,35.75721495,-4.04443165,Migungani,Internal,Manyara,1,325,True,VWC,True,nira/tanira,vwc,never pay,soft,enough,shallow well,hand pump,0,27
15183,111,38.86032177,-6.78261175,Rashid Ally Mkamba,Wami / Ruvu,Pwani,2,20,True,Parastatal,True,mono,private operator,monthly,soft,insufficient,river,communal standpipe,0,10
15187,857,35.12404639,-5.87623432,Shule Ya Msingi,Internal,Singida,3,450,False,VWC,False,nira/tanira,vwc,never pay,salty,enough,shallow well,hand pump,2,22
15188,289,36.89149344,-7.85536126,Mshikamano,Rufiji,Morogoro,3,270,True,WUA,True,gravity,vwc,never pay,soft,insufficient,river,communal standpipe,2,39
15189,421,39.00600293,-10.24523451,Ngajua,Ruvuma / Southern Coast,Lindi,53,150,True,VWC,True,gravity,vwc,per bucket,soft,dry,spring,communal standpipe,2,46
15190,1421,36.74693518,-3.08257074,Shule Ya Msingi,Internal,Arusha,2,150,True,VWC,True,gravity,vwc,never pay,fluoride,insufficient,spring,communal standpipe,1,9
15191,1474,30.21525785,-4.33972891,Kwa Rutwe,Lake Tanganyika,Kigoma,2,950,True,Water authority,True,gravity,vwc,monthly,soft,enough,dam,communal standpipe multiple,0,13
15199,233,38.07045572,-6.77913885,Mdelani,Wami / Ruvu,Morogoro,2,300,True,VWC,True,nira/tanira,vwc,on failure,salty,dry,shallow well,hand pump,2,20
15200,29,39.21797915,-6.97589143,Kwa Bega,Wami / Ruvu,Dar es Salaam,3,250,True,SWC,False,submersible,other - school,per bucket,soft,insufficient,machine dbh,communal standpipe,0,10
15203,262,36.89971805,-7.85640449,Mvulekati,Rufiji,Morogoro,3,270,True,WUA,True,gravity,vwc,monthly,soft,insufficient,river,communal standpipe,0,22
15207,1560,35.17274055,-9.23679848,Kwa Esta Kinyamagoha,Rufiji,Iringa,4,30,True,WUA,True,gravity,wua,monthly,soft,enough,river,communal standpipe,0,24
15208,59,39.11066122,-9.67021858,Ghalani,Ruvuma / Southern Coast,Lindi,13,396,True,VWC,True,nira/tanira,vwc,never pay,soft,enough,shallow well,hand pump,2,35
15214,30,40.09116549,-10.36745092,Sokoni,Ruvuma / Southern Coast,Mtwara,1,500,True,VWC,True,submersible,vwc,per bucket,soft,enough,machine dbh,communal standpipe multiple,0,35
15232,977,37.08357865,-5.99969242,Rwande A,Wami / Ruvu,Morogoro,1,350,True,VWC,True,swn 80,vwc,never pay,soft,enough,shallow well,hand pump,0,24
15233,1516,29.82062679,-4.53558851,Kwa Mfumuhira,Lake Tanganyika,Kigoma,2,350,True,Water authority,True,gravity,water board,monthly,soft,enough,river,communal standpipe multiple,2,19
15237,27,39.17288652,-8.528037300000001,Kwahuseni 2,Ruvuma / Southern Coast,Lindi,13,330,True,VWC,True,afridev,vwc,never pay,salty,enough,shallow well,hand pump,0,13
15238,1613,32.02346343,-8.93462719,Kwa Sadoki Skazo,Lake Rukwa,Rukwa,2,150,True,VWC,False,india mark ii,vwc,never pay,soft,enough,machine dbh,hand pump,2,36
15249,1613,34.99596567,-8.95165912,Kwa Elio Chagavalia,Rufiji,Iringa,4,80,True,VWC,False,gravity,vwc,never pay,soft,enough,river,communal standpipe,2,41
15251,1512,36.70901591,-3.34886447,Kwa Mungai,Pangani,Arusha,2,200,True,VWC,True,gravity,vwc,never pay,soft,enough,spring,communal standpipe,0,21
15252,1711,35.46062166,-4.47919514,Sipiani,Internal,Manyara,2,238,True,VWC,True,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe,0,18
15254,884,31.39017808,-7.46220709,Kanisani Rc,Lake Rukwa,Rukwa,1,380,True,VWC,True,gravity,vwc,annually,soft,enough,spring,communal standpipe,1,33
15258,1001,35.83283694,-10.30103148,Kwa Damas Komba,Lake Nyasa,Ruvuma,5,300,True,WUG,False,nira/tanira,wug,monthly,soft,enough,shallow well,hand pump,2,23
15261,1434,30.21102597,-4.34146786,Kwa Godwin,Lake Tanganyika,Kigoma,2,1450,True,Water authority,True,gravity,vwc,monthly,soft,enough,dam,communal standpipe multiple,1,13
15263,364,38.41739844,-5.60484816,Kwa Mtendaji,Pangani,Tanga,6,200,True,VWC,False,submersible,vwc,per bucket,soft,enough,river,communal standpipe multiple,0,11
15271,295,38.53640144,-5.00673678,Madukani,Pangani,Tanga,2,75,True,VWC,False,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe,0,48
15273,1858,34.77425878,-9.14565998,Kwa Augeni Mfwea,Rufiji,Iringa,4,140,True,WUA,True,gravity,wua,monthly,soft,enough,spring,communal standpipe,0,11
15285,1474,36.68216924,-3.34585542,Kwa Paulo,Pangani,Arusha,2,150,True,VWC,True,gravity,vwc,monthly,soft,insufficient,spring,communal standpipe multiple,0,25
15286,263,36.34735557,-8.28907433,Kwamilando,Rufiji,Morogoro,3,50,True,VWC,True,swn 80,vwc,never pay,soft,insufficient,shallow well,hand pump,2,36
15287,1045,29.83166761,-4.64954689,Kwa Elyas,Lake Tanganyika,Kigoma,2,750,True,Water authority,True,gravity,water board,monthly,soft,enough,river,communal standpipe,1,20
15288,1242,34.21595037,-1.31489626,Kwa Patrick Andrea,Lake Victoria,Mara,6,300,False,VWC,False,nira/tanira,private operator,per bucket,salty,seasonal,shallow well,hand pump,0,18
15293,202,38.7555633,-5.20706787,Mkinga,Pangani,Tanga,3,400,True,VWC,False,afridev,vwc,per bucket,salty,insufficient,shallow well,hand pump,0,16
15296,1914,31.59804959,-8.05366834,Kwa Kashuta,Lake Tanganyika,Rukwa,4,450,True,VWC,True,gravity,vwc,never pay,soft,dry,spring,communal standpipe,2,36
15297,1740,35.44288932,-8.09774128,none,Rufiji,Iringa,1,200,True,VWC,True,gravity,vwc,annually,soft,enough,spring,communal standpipe,0,16
15299,1325,37.65605708,-3.66606609,Kwa Salim,Pangani,Kilimanjaro,2,30,True,VWC,False,gravity,vwc,monthly,soft,insufficient,spring,communal standpipe,0,13
15303,941,35.52322908,-10.83618601,Kwa Nicodem,Ruvuma / Southern Coast,Ruvuma,2,475,True,VWC,True,gravity,vwc,on failure,soft,enough,river,communal standpipe,1,42
15306,32,39.02929047,-6.5782384999999985,Mkingie,Wami / Ruvu,Pwani,1,60,True,Company,True,ksb,private operator,per bucket,soft,enough,river,communal standpipe,0,11
15314,328,38.81067002,-10.57478308,Shuleni,Ruvuma / Southern Coast,Mtwara,33,1950,True,VWC,True,mono,company,per bucket,salty,enough,machine dbh,communal standpipe multiple,0,45
15316,304,39.04365808,-9.91843122,Kokeni,Ruvuma / Southern Coast,Lindi,53,1200,True,VWC,True,submersible,vwc,per bucket,salty,insufficient,machine dbh,communal standpipe multiple,0,13
15325,349,37.59315423,-6.1403256,Kwa Kategire,Wami / Ruvu,Morogoro,6,30,True,VWC,True,gravity,vwc,never pay,soft,enough,river,communal standpipe,2,32
15334,801,37.30466648,-3.37226408,Namba 6,Pangani,Kilimanjaro,6,9,True,Water authority,True,gravity,water authority,per bucket,soft,insufficient,spring,communal standpipe,0,12
15338,1495,34.12888859,-5.95631229,Kwa Mdusi,Internal,Singida,3,350,True,VWC,False,afridev,vwc,per bucket,soft,insufficient,machine dbh,hand pump,0,24
15344,1499,34.47320457,-4.42978486,Kwa Naseth,Internal,Singida,1,352,True,WUA,True,submersible,wua,per bucket,soft,enough,machine dbh,communal standpipe multiple,0,10
15345,822,29.74247686,-4.88220157,Uhuru,Lake Tanganyika,Kigoma,3,240,True,WUG,True,gravity,vwc,annually,soft,enough,river,communal standpipe multiple,0,11
15346,517,37.30454422,-7.01702488,Kwa Walokole,Wami / Ruvu,Morogoro,6,230,True,VWC,True,other - swn 81,vwc,never pay,salty,insufficient,shallow well,hand pump,2,10
15348,282,36.08758413,-8.37146855,Ofisini,Rufiji,Morogoro,3,500,True,VWC,True,swn 80,vwc,never pay,soft,insufficient,shallow well,hand pump,2,23
15352,284,37.03344439,-7.65226727,Kwa Mcheketu,Rufiji,Morogoro,1,150,True,VWC,True,nira/tanira,vwc,monthly,soft,enough,shallow well,hand pump,0,13
15353,345,38.77948812,-7.20691452,Mwalimu Muhenza,Wami / Ruvu,Pwani,33,500,True,Private operator,False,gravity,private operator,per bucket,salty,enough,machine dbh,communal standpipe,0,10
15354,140,38.83842815,-5.10101265,Kwasadi,Pangani,Tanga,3,100,True,VWC,False,gravity,vwc,never pay,soft,seasonal,spring,communal standpipe,2,21
15356,371,38.3172368,-5.73323835,Kwa Nassor Lusonje,Pangani,Tanga,6,1000,True,VWC,True,submersible,vwc,per bucket,soft,seasonal,machine dbh,communal standpipe,2,38
15362,1815,34.80896997,-9.06650559,Kwa Iyani Mhema,Rufiji,Iringa,4,65,True,VWC,True,gravity,vwc,monthly,soft,enough,spring,communal standpipe,0,10
15367,1412,34.67309308,-10.12778153,none,Lake Nyasa,Iringa,5,350,True,VWC,False,gravity,vwc,monthly,soft,enough,river,communal standpipe,0,21
15369,982,36.82045735,-3.48504358,Kwa Godwin,Pangani,Arusha,2,150,True,VWC,True,gravity,vwc,per bucket,soft,insufficient,spring,communal standpipe,0,40
15373,1362,30.20860642,-4.49056811,Kwa Jeremia,Lake Tanganyika,Kigoma,2,140,True,Water authority,True,gravity,water board,monthly,soft,enough,river,communal standpipe,0,32
15376,319,37.04662226,-7.5571634,Kwa Sanangwa,Rufiji,Morogoro,1,150,True,VWC,True,swn 80,vwc,monthly,soft,enough,shallow well,hand pump,0,38
15379,1938,35.90756648,-8.10495933,none,Rufiji,Iringa,7,150,True,VWC,True,gravity,vwc,per bucket,soft,enough,river,communal standpipe,0,50
15380,1271,30.05080309,-4.71312977,Sokoni,Lake Tanganyika,Kigoma,2,700,True,Water authority,True,gravity,water board,monthly,soft,enough,river,communal standpipe,0,30
15381,1267,36.85709443,-6.08122589,Kiwanjani,Wami / Ruvu,Morogoro,1,150,True,VWC,True,submersible,vwc,per bucket,soft,enough,machine dbh,communal standpipe,2,15
15382,1491,34.6347829,-8.96450476,Ofisini,Rufiji,Iringa,4,20,True,WUA,True,gravity,wua,monthly,soft,enough,river,communal standpipe,0,36
15386,1069,35.35396104,-3.5444727,Juhudi,Internal,Arusha,30,250,True,VWC,True,submersible,vwc,per bucket,soft,enough,machine dbh,communal standpipe,0,14
15388,1576,35.14322497,-9.256004699999998,Kwa Raymond Nyalusi,Rufiji,Iringa,4,75,True,WUA,True,gravity,wua,monthly,soft,enough,spring,communal standpipe,0,45
15390,1475,34.7187768,-8.86018176,Kwa Bryson Ngesi,Rufiji,Iringa,4,115,True,WUA,True,gravity,wua,monthly,soft,enough,river,communal standpipe,0,27
15393,738,36.13937519,-10.28590094,Kwa Masudi Ntine,Rufiji,Ruvuma,5,250,True,WUG,False,swn 80,wug,monthly,soft,enough,shallow well,hand pump,0,24
15395,1353,35.48018536,-3.04057387,Shuleni,Internal,Arusha,5,320,True,VWC,True,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe,0,14
15399,519,36.97386312,-7.408653299999999,Msufini,Rufiji,Morogoro,1,250,True,Company,True,gravity,company,never pay,soft,insufficient,river,communal standpipe,2,45
15401,975,36.82434170000001,-3.49932312,Kwa Joshua Emanuel,Pangani,Arusha,2,150,True,VWC,True,gravity,vwc,per bucket,soft,insufficient,spring,communal standpipe,1,11
15407,67,38.88200281,-5.43421284,Kwa Fasten,Pangani,Tanga,5,50,True,VWC,False,submersible,vwc,per bucket,soft,insufficient,river,communal standpipe,0,47
15417,1033,29.93518312,-4.80580927,Kwa Tiruhera,Lake Tanganyika,Kigoma,2,520,False,Water authority,True,gravity,vwc,annually,soft,enough,river,communal standpipe,0,36
15421,509,39.36271216,-10.71240135,Tangini,Ruvuma / Southern Coast,Mtwara,33,190,True,VWC,False,submersible,vwc,never pay,soft,insufficient,machine dbh,communal standpipe,0,22
15422,324,37.58470238,-6.31783156,Kwamoses,Wami / Ruvu,Morogoro,6,200,True,VWC,True,submersible,vwc,never pay,salty,dry,machine dbh,communal standpipe,2,50
15428,222,38.35042139,-6.63946354,Gombela,Wami / Ruvu,Pwani,1,100,False,WUA,True,ksb,private operator,per bucket,soft,enough,river,communal standpipe,0,13
15429,965,35.86622549,-10.5434397,Kwa Methew Ngonyani,Rufiji,Ruvuma,5,360,True,WUG,False,swn 80,wug,per bucket,soft,insufficient,shallow well,hand pump,0,21
15431,1818,35.83621115,-3.23868221,Kwa Simon Petro,Internal,Arusha,30,125,True,VWC,True,gravity,vwc,per bucket,soft,seasonal,river,communal standpipe,2,11
15432,1228,37.19093469,-3.25660033,Area 17 Namba 10,Pangani,Kilimanjaro,5,150,True,Water Board,True,gravity,water board,per bucket,soft,enough,spring,communal standpipe,0,21
15436,1276,34.96553464,-5.51539104,Kwa Charies Ngorongo,Internal,Singida,3,200,True,VWC,True,mono,vwc,per bucket,salty,enough,machine dbh,communal standpipe multiple,0,12
15437,1180,35.86922384,-4.1389534,Kwa Maliseli,Internal,Manyara,1,84,True,VWC,True,gravity,vwc,never pay,soft,enough,spring,communal standpipe,0,22
15438,174,38.78233562,-5.15548217,Sega-Tasaf,Pangani,Tanga,3,280,True,VWC,False,nira/tanira,vwc,never pay,salty,seasonal,shallow well,hand pump,0,12
15439,414,39.40196011,-10.92420851,Kwa Msagile,Ruvuma / Southern Coast,Mtwara,33,700,True,VWC,False,gravity,vwc,per bucket,soft,insufficient,spring,communal standpipe multiple,0,34
15440,1475,36.60585937,-3.31071809,Sekondari,Pangani,Arusha,2,200,True,VWC,True,submersible,vwc,never pay,soft,insufficient,machine dbh,communal standpipe,0,9
15445,235,37.03776064,-7.77818081,Kwahimbu,Rufiji,Morogoro,3,350,True,VWC,True,gravity,vwc,never pay,soft,insufficient,river,communal standpipe,2,16
15446,1563,34.73911219,-8.91745808,Kwa Aroni Nywage,Rufiji,Iringa,4,35,True,VWC,True,gravity,vwc,annually,soft,enough,spring,communal standpipe,0,10
15449,1261,34.828405700000005,-5.74978395,Kwa Rashid,Internal,Singida,3,120,False,VWC,False,submersible,vwc,per bucket,soft,enough,machine dbh,communal standpipe multiple,0,9
15458,895,35.95388966,-10.53719871,Kwa Kadoonga,Rufiji,Ruvuma,5,420,True,WUG,False,nira/tanira,wug,annually,soft,insufficient,shallow well,hand pump,0,21
15461,1511,34.52097574,-4.4277967,Kitusha,Internal,Singida,1,295,True,VWC,True,afridev,vwc,annually,soft,enough,machine dbh,hand pump,0,8
15462,1990,34.71565938,-9.71976628,none,Lake Nyasa,Iringa,5,107,True,VWC,False,gravity,vwc,on failure,soft,enough,spring,communal standpipe,0,20
15464,124,38.86048332,-6.79174045,Suleiman Bige,Wami / Ruvu,Pwani,2,10,True,VWC,True,gravity,vwc,never pay,soft,enough,river,communal standpipe,0,10
15468,1797,34.81370896,-9.03454676,Kwa Rose Kilamulya,Rufiji,Iringa,4,150,True,WUG,True,gravity,wug,monthly,soft,enough,spring,communal standpipe,0,9
15470,1584,35.24460535,-7.95811942,none,Rufiji,Iringa,1,490,True,VWC,True,gravity,vwc,annually,soft,enough,spring,communal standpipe,0,12
15473,1889,37.38635136,-2.8840359,Shuleni,Internal,Arusha,6,300,True,VWC,True,gravity,vwc,on failure,soft,insufficient,river,communal standpipe,0,8
15476,753,36.35140579,-11.17945249,Kwa Kasim Komba,Ruvuma / Southern Coast,Ruvuma,5,90,True,VWC,True,gravity,vwc,on failure,soft,seasonal,river,communal standpipe,0,10
15479,324,38.99289489,-10.33092965,Zahanati,Ruvuma / Southern Coast,Lindi,53,250,True,VWC,True,submersible,vwc,per bucket,soft,enough,machine dbh,communal standpipe,2,22
15480,1335,34.52650873,-8.84074698,Kwa Mzee Mhanga,Rufiji,Iringa,4,75,True,WUA,True,gravity,wua,monthly,soft,enough,river,communal standpipe,0,42
15481,1513,34.35548181,-4.30838863,King'Inga A,Internal,Singida,1,208,True,VWC,True,submersible,vwc,monthly,soft,dry,machine dbh,communal standpipe,2,46
15487,1334,34.1003496,-3.02670154,Muungano,Lake Victoria,Shinyanga,1,500,True,WUG,False,nira/tanira,wug,on failure,soft,insufficient,shallow well,hand pump,1,22
15494,1028,35.94762499,-3.6805796,Kwa Loshie,Internal,Manyara,1,145,True,VWC,True,swn 80,vwc,never pay,fluoride,enough,shallow well,hand pump,0,14
15497,256,36.92190039,-7.76924157,Kwamasanja,Rufiji,Morogoro,3,150,True,WUA,True,gravity,vwc,never pay,soft,enough,river,communal standpipe,0,17
15499,1491,35.63674057,-3.36037641,Geheri,Internal,Arusha,30,200,True,VWC,True,gravity,vwc,per bucket,soft,enough,river,communal standpipe,0,18
15500,222,36.68491511,-8.14877698,Kwamisama,Rufiji,Morogoro,3,100,True,VWC,True,submersible,vwc,never pay,soft,seasonal,machine dbh,communal standpipe,2,13
